day,xt
33474,4.657318508091172
33475,4.7482302378179755
33476,6.5968907389115135
33477,6.111533363591954
33478,6.651418581388458
33479,7.239186612588108
33480,8.324355479596644
33481,8.740020649948264
33482,8.582397528897845
33483,8.600771579796982
33484,9.146022101137731
33485,11.397818270196442
33486,9.968346438266888
33487,11.024254568439565
33488,12.152617074525834
33489,13.052124468486223
33490,13.180952615863413
33491,12.821578071400603
33492,12.41060348455119
33493,13.430535128976217
33494,14.370168827969218
33495,12.861504238137892
33496,12.089301491049802
33497,12.020196241821823
33498,11.573205054261031
33499,12.296273100078077
33500,11.835340918939677
33501,14.689631273826796
33502,14.276442421935538
33503,13.446322414532036
33504,14.520765388908961
33505,14.303599736587822
33506,15.225332914949703
33507,16.565626779842415
33508,17.648762278064325
33509,17.22340302329168
33510,15.689900991053356
33511,17.332462723881555
33512,15.998793561629016
33513,18.01680506730014
33514,17.860574607058588
33515,17.561118803237395
33516,17.005766348556087
33517,17.032934785500174
33518,16.33545900992404
33519,16.71730335331962
33520,16.566931837931385
33521,15.398479079415205
33522,14.35580340563457
33523,13.95860798991604
33524,11.657102638410645
33525,9.957398786891746
33526,11.080463193394287
33527,12.152559575721675
33528,12.937727662601748
33529,13.451465804643307
33530,13.751052718866905
33531,14.030948915769397
33532,13.179459074900135
33533,14.014642137942797
33534,12.852166688076473
33535,15.151751038618524
33536,14.399807398588967
33537,13.200244168047192
33538,16.214130413982822
33539,14.865319811647636
33540,15.36870839348895
33541,15.40746027632261
33542,15.739149867015552
33543,16.560645463313747
33544,17.012282237805387
33545,15.117919316831667
33546,15.081568013213907
33547,14.99936370771462
33548,15.365669580866244
33549,14.93685173792518
33550,13.669890352600087
33551,12.32473761117553
33552,11.74172428663191
33553,10.051059176590353
33554,8.997078890624813
33555,8.00485683930245
33556,7.215849681709343
33557,9.046821763592217
33558,7.528660106224066
33559,4.213818813083219
33560,3.9614683178703234
33561,2.526192674504188
33562,3.043396096866873
33563,2.23747226303419
33564,1.6730609887906684
33565,0.0
33566,0.0
33567,0.5704204635589512
33568,0.7272842904640899
33569,0.1660400271103406
33570,0.0
33571,0.0
33572,0.0
33573,0.47603053308170207
33574,0.0
